gpr_daily_id,gpr_date,article_count_n10d,gpr_daily_index,gpr_daily_acts_index,gpr_daily_threat_index,gpr_ma30,gpr_ma7,annotated_event
1,1985-01-01,216,230.039428710938,275.197601318359,153.027984619141,230.039428710938,230.039428710938,
2,1985-01-02,315,115.676971435547,146.772064208984,87.4445724487305,172.858200073242,172.858200073242,
3,1985-01-03,374,97.4284591674805,158.937652587891,29.4599342346191,147.714950561523,147.714950561523,
4,1985-01-04,421,157.366638183594,156.882247924805,157.026351928711,150.127868652344,150.127868652344,
5,1985-01-05,285,81.3613128662109,92.6981430053711,77.3194046020508,136.374557495117,136.374557495117,
6,1985-01-06,396,167.301391601563,166.786422729492,208.674530029297,141.529037475586,141.529037475586,
7,1985-01-07,346,105.312843322754,57.2665519714356,143.297882080078,136.355285644531,136.355285644531,
8,1985-01-08,379,87.4028396606445,34.8535232543945,130.820755004883,130.236236572266,115.978637695313,
9,1985-01-09,382,121.403007507324,103.739410400391,129.793365478516,129.254760742188,116.79663848877,
10,1985-01-10,424,140.627868652344,77.886116027832,181.90119934082,130.392074584961,122.967987060547,
11,1985-01-11,454,94.8532638549805,130.931015014648,72.806266784668,127.161277770996,114.037506103516,
12,1985-01-12,312,95.5548400878906,42.3380928039551,123.599533081055,124.527404785156,116.065147399902,
13,1985-01-13,397,91.7839889526367,16.6366310119629,138.765930175781,122.008682250977,105.276947021484,
14,1985-01-14,360,211.636276245117,183.465072631836,229.5419921875,128.41064453125,120.466011047363,
15,1985-01-15,375,97.1686477661133,105.675888061523,102.834808349609,126.327850341797,121.861129760742,
16,1985-01-16,405,106.32933807373,114.156044006348,95.217414855957,125.077941894531,119.707748413086,
17,1985-01-17,424,54.6886177062988,62.308895111084,38.9788284301758,120.937393188477,107.430709838867,
18,1985-01-18,417,111.213310241699,63.3548469543457,132.110488891602,120.397171020508,109.767860412598,
19,1985-01-19,321,51.5976295471191,41.1510429382324,68.6480712890625,116.776138305664,103.488258361816,
20,1985-01-20,383,77.8410186767578,68.9790344238281,86.3029861450195,114.829383850098,101.496406555176,
21,1985-01-21,359,138.408126831055,183.976119995117,76.7271270751953,115.952178955078,91.0352401733398,
